,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip
0,313000,3,1,1340,7912,1,0,0,3,1340,0,1955,2005,1493,36,62
1,2384000,5,2,3650,9050,2,0,4,5,3370,280,1921,0,3809,35,58
2,342000,3,2,1930,11947,1,0,0,4,1930,0,1966,0,2247,18,26
3,420000,3,2,2000,8030,1,0,0,4,1000,1000,1963,0,4166,3,7
4,550000,4,2,1940,10500,1,0,0,4,1140,800,1976,1992,4251,31,31
5,490000,2,1,880,6380,1,0,0,3,880,0,1938,1994,3440,35,54
6,335000,2,2,1350,2560,1,0,0,3,1350,0,1976,0,2242,31,31
7,482000,4,2,2710,35868,2,0,0,3,2710,0,1989,0,2001,21,23
8,452500,3,2,2430,88426,1,0,0,4,1570,860,1985,0,3296,27,27
9,640000,4,2,1520,6200,1,0,0,3,1520,0,1945,2010,3758,35,54
10,463000,3,1,1710,7320,1,0,0,3,1710,0,1948,1994,4400,20,67
11,1400000,4,2,2920,4000,1,0,0,5,1910,1010,1909,1988,2958,35,48
12,588500,3,1,2330,14892,1,0,0,3,1970,360,1980,0,1445,33,42
13,365000,3,1,1090,6435,1,0,0,4,1090,0,1955,2009,2135,35,49
14,1200000,5,2,2910,9480,1,0,0,3,2910,0,1939,1969,2842,35,48
15,242500,3,1,1200,9720,1,0,0,4,1200,0,1965,0,789,18,26
16,419000,3,1,1570,6700,1,0,0,4,1570,0,1956,0,1037,3,6
17,367500,4,3,3110,7231,2,0,0,3,3110,0,1997,0,272,1,45
18,257950,3,1,1370,5858,1,0,0,3,1370,0,1987,2000,1121,10,73
19,275000,3,1,1180,10277,1,0,0,3,1180,0,1983,2009,517,27,27
20,750000,3,1,2240,10578,2,0,0,5,1550,690,1923,0,2664,35,54
21,435000,4,1,1450,8800,1,0,0,4,1450,0,1954,1979,2986,3,5
22,626000,3,2,1750,1572,2,0,0,3,1470,280,2005,0,2597,35,46
23,612500,4,2,2730,12261,2,0,0,3,2730,0,1991,0,70,5,9
24,495000,4,1,1600,6380,1,0,0,3,1130,470,1959,1989,1655,35,60
25,285000,3,2,2090,10834,1,0,0,4,1360,730,1987,0,2369,14,2
26,615000,3,1,2360,7291,1,0,0,4,1360,1000,1948,0,4137,35,63
27,698000,4,2,2200,11250,1,0,0,5,1300,900,1920,0,105,19,21
28,675000,5,2,2820,67518,2,0,0,3,2820,0,1979,2014,1984,16,17
29,790000,3,2,2600,4750,1,0,0,4,1700,900,1951,1999,2732,35,56
30,382500,4,1,1560,8700,1,0,0,4,1560,0,1967,0,801,19,22
31,499950,4,2,2860,3345,2,0,0,3,2190,670,2004,2003,1641,42,41
32,650000,4,2,1820,5000,1,0,1,3,1640,180,1945,2010,3831,35,54
33,625000,4,2,2820,8408,2,0,0,3,2820,0,2014,0,1269,36,67
34,400000,4,2,3630,42884,1,0,0,3,2300,1330,1979,2014,3427,1,45
35,604000,3,2,3240,33151,2,0,2,3,3240,0,1995,0,2563,14,13
36,440000,2,1,800,4850,1,0,0,4,800,0,1944,0,3326,35,50
